companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open),sales,expenses,operating_profit,net_profit,eps,price,opm,equity_share_capital,pe_ratio,outstanding_shares,market_cap,sales_growth_%,net_profit_growth_%,eps_growth_%,market_cap_growth_%,operating_margin_%,cagr_close_price
Bharat Petroleum Corportation Limited,2016,900.0,1152.45,543.25,634.55,30209837,952287,22307479257,10366705,34.32,609.2,-265.45,187814.6,174843.52000000002,12971.079999999987,8088.87,18.643963490526897,150.72,6.906321446788474,655.62,8.084117954671049,655620000.0,98815046400.0,,,,,6.906321446788474,-0.05965403667457181
Bharat Petroleum Corportation Limited,2017,637.0,769.85,450.45,518.7,50708573,739509,29380098543,22761668,44.89,319.4,-118.3,201250.66,187467.86,13782.800000000017,8720.94,20.101279243978333,216.62,6.848573813372844,1311.25,10.776428573066665,1311250000.0,284042975000.0,7.153895384064923,7.814070444944732,7.816555499005928,187.4491136200084,6.848573813372844,-0.05965403667457181
Bharat Petroleum Corportation Limited,2018,519.0,522.65,239.0,362.75,92338785,917209,34217639093,33407529,36.18,283.65,-156.25,235895.11,220577.66,15317.449999999983,9008.63,20.764388613576116,213.73,6.493330870656871,1966.88,10.29310344636199,1966880000.0,420381262400.0,17.214577085113646,3.2988416386306785,3.2988416386306785,47.999175969763016,6.493330870656871,-0.05965403667457181
Bharat Petroleum Corportation Limited,2019,362.75,549.7,308.55,491.5,78373674,865610,33001455863,22693973,28.96,241.15,128.75,298225.59,283113.36000000004,15112.229999999981,7802.3,17.98386539126426,198.78,5.067382044579065,1966.88,11.053241095574384,1966880000.0,390976406400.0,26.42296400294184,-13.390826352064622,-13.390826352064622,-6.994806531605291,5.067382044579065,-0.05965403667457181
Bharat Petroleum Corportation Limited,2020,491.4,510.0,252.0,380.95,93854349,1528151,36619845798,22694745,24.18,258.0,-110.45,284571.9,275596.69,8975.210000000021,3055.36,7.042434020974992,158.45,3.153934032137404,1966.88,22.499323320328863,1966880000.0,311652136000.0,-4.578309326171503,-60.84026505004934,-60.84026505004934,-20.288761444813364,3.153934032137404,-0.05965403667457181
Bharat Petroleum Corportation Limited,2021,382.0,503.0,357.55,385.5,125477430,2099370,55081195277,58277422,46.44,145.45,3.5,230170.81,209169.76,21001.04999999999,16164.98,37.259375360147516,213.98,9.124115260314715,2092.91,5.742984092773391,2092910000.0,447840881800.0,-19.116817226156215,429.0695695433598,429.0695695433598,43.698961139159344,9.124115260314715,-0.05965403667457181
Bharat Petroleum Corportation Limited,2022,383.05,406.75,288.2,330.55,72618789,1421617,24668969545,38851889,53.5,118.55,-52.5,346791.08,327653.78,19137.29999999999,11681.5,26.925204563789325,179.68,5.518394533100444,2129.45,6.673301202756496,2129450000.0,382619576000.0,50.6668373804654,-27.735759648326198,-27.735759648326198,-14.563499772029964,5.518394533100444,-0.05965403667457181
Bharat Petroleum Corportation Limited,2023,330.55,482.05,314.1,450.55,42234302,869698,16032513606,20052350,47.48,167.95,120.0,473187.18,462288.35000000003,10898.829999999958,2131.05,4.911951135184972,172.15,2.303280913062767,2129.45,35.04717275521457,2129450000.0,366584817500.0,36.44733307442625,-81.75705174849121,-81.75705174849121,-4.190783615316118,2.303280913062767,-0.05965403667457181
Bharat Petroleum Corportation Limited,2024,458.45,687.65,279.5,292.35,144514827,2412223,63100783583,68439129,47.36,408.15,-166.1,448083.03,404000.86,44082.17000000004,26858.84,61.90812492797049,301.2,9.837946775176922,2136.29,4.865274151824875,2136290000.0,643450548000.0,-5.3053318139345995,1160.3571009596208,1160.3571009596208,75.52569481413398,9.837946775176922,-0.05965403667457181
Bharat Petroleum Corportation Limited,2025,293.0,381.6,234.15,364.8,91967300,1343540,28759134636,50526118,54.94,147.45,71.8,440271.86,414870.48,25401.380000000005,13336.55,30.740002304944102,278.47,5.769476159571044,4272.58,9.058880257637847,4272580000.0,1189785352600.0,-1.743241648763183,-50.345770703425764,-50.345770703425764,84.90703851261621,5.769476159571044,-0.05965403667457181
