companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open),sales,expenses,operating_profit,net_profit,eps,price,opm,equity_share_capital,pe_ratio,outstanding_shares,market_cap,sales_growth_%,net_profit_growth_%,eps_growth_%,market_cap_growth_%,operating_margin_%,cagr_close_price
Hindusthan Peterolium Corporation Limited,2016,840.2,1328.95,390.0,441.2,43385739,1279807,32513605816,13295785,30.65,938.95,-399.0,177910.22,169575.43,8334.790000000008,4674.69,20.45189657435359,116.7,4.684829235779714,339.01,5.7060722743112375,339010000.0,39562467000.0,,,,,4.684829235779714,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2017,443.0,584.45,336.0,416.3,76579653,1256636,35749157242,24927362,32.55,248.45,-26.7,187492.89,176606.69000000003,10886.199999999983,8235.82,36.03193769961062,233.62,5.806193504191002,1016.27,6.483692382786414,1016270000.0,237420997400.0,5.386239194128373,76.17895518205486,76.17895518205484,500.1167657214096,5.806193504191002,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2018,422.5,434.9,163.45,253.25,130175385,1400898,34305287407,31368907,24.1,271.45,-169.25,219509.87,208732.1,10777.76999999999,7218.28,31.58017237607735,229.9,4.909925007016764,1524.21,7.2798842660578424,1524210000.0,350415879000.0,17.076370202624737,-12.35505389870104,-12.35505389870104,47.59262358317429,4.909925007016764,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2019,253.25,333.45,211.35,264.45,81280832,804728,22319915528,18095792,22.26,122.1,11.2,275490.64,263963.35000000003,11527.289999999979,6690.63,29.27168919805749,189.23,4.184276460354507,1524.21,6.464608131072858,1524210000.0,288426258300.0,25.502620907205674,-7.309913164909087,-7.3099131649090765,-17.690300130491522,4.184276460354507,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2020,264.95,270.45,155.0,217.9,100232098,1151735,20808508160,27841065,27.78,115.45,-47.05,269091.53,263887.20999999996,5204.320000000065,2638.73,11.544515903224395,126.73,1.9340333751865266,1524.21,10.977506641452518,1524210000.0,193163133300.0,-2.322804869159978,-60.56081415352516,-60.56081415352516,-33.02858954711198,1.9340333751865266,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2021,218.35,354.55,212.5,292.0,73856400,900586,20081287355,26352883,35.68,142.05,73.65,233248.45,217193.92000000004,16054.52999999997,10662.89,48.82722776811063,156.33,6.88301680032599,1452.41,3.201697232176268,1452410000.0,227055255300.00003,-13.320032778437884,304.0917411027274,322.94738192073635,17.545854336170063,6.88301680032599,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2022,294.5,332.4,200.0,235.05,54498696,884239,13701424851,24216531,44.44,132.4,-59.45,349913.18,339668.8499999999,10244.330000000075,7294.23,34.28061847918037,179.57,2.927677659926978,1418.94,5.238236880383536,1418940000.0,254799055800.0,50.01736560307259,-31.59237317462714,-29.792003260997635,12.21896426195601,2.927677659926978,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2023,237.0,425.45,211.7,398.75,56827691,891023,16560106429,21821904,38.4,213.75,161.75,440709.25,447916.3300000001,-7207.0800000000745,-6980.23,-32.80491587555221,157.87,0.0,1418.94,-4.812388502957639,1418940000.0,224008057800.0,25.948170914853797,-195.69522759770393,-195.69522759770393,-12.084423901542573,0.0,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2024,406.7,594.7,323.0,408.75,110108500,1854383,48538085827,51330490,46.62,271.7,2.05,433856.51,408928.73000000004,24927.77999999997,16014.61,75.26369959582668,317.1,5.745627742222877,1418.94,4.213186459114521,1418940000.0,449945874000.00006,-1.5549344607584281,-329.42811340027475,-329.4281134002748,100.86146829669987,5.745627742222877,0.004659364778466735
Hindusthan Peterolium Corporation Limited,2025,409.5,494.55,287.55,460.05,47316593,969144,18716978225,22106096,46.72,207.0,50.55,434106.17,417658.43000000005,16447.739999999932,6735.7,31.655700723752233,360.35,3.788874965771607,2128.21,11.383415680627106,2128210000.0,766900473500.0,0.057544371064066624,-57.94028078111175,-57.94028078111175,70.44282830783328,3.788874965771607,0.004659364778466735
