companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open),sales,expenses,operating_profit,net_profit,eps,price,opm,equity_share_capital,pe_ratio,outstanding_shares,market_cap,sales_growth_%,net_profit_growth_%,eps_growth_%,market_cap_growth_%,operating_margin_%,cagr_close_price
Indian Oil Corporation Limited,2016,431.0,667.2,281.7,325.65,61553122,1090250,26967269437,29698814,48.25,385.5,-105.35,346044.74,324006.58,22038.159999999974,12022.45,8.25286938136687,65.6,6.368586905843439,2369.67,7.948750545853797,2369670000.0,155450352000.0,,,,,6.368586905843439,-0.07363666529635315
Indian Oil Corporation Limited,2017,327.9,462.6,325.95,388.4,94939622,1035394,38380899609,42514807,44.78,136.65,60.5,355379.0,321229.91000000003,34149.08999999997,19849.49,13.625592059199057,129.02,9.609203132430439,4739.34,9.468946335648926,4739340000.0,611469646800.0,2.6974142129714274,65.10353546905998,65.10126877765197,293.3536585365854,9.609203132430439,-0.07363666529635315
Indian Oil Corporation Limited,2018,395.9,427.6,105.65,137.1,216143430,1344933,39632573719,92344037,42.72,321.95,-258.8,421491.82,379833.86,41657.96000000002,22189.45,15.231951509160679,117.73,9.883456338488376,9478.69,7.729147504782678,9478690000.0,1115926173700.0,18.60346840978224,11.788514465610955,11.789281838047682,82.49902992568299,9.883456338488376,-0.07363666529635315
Indian Oil Corporation Limited,2019,137.35,170.4,116.1,125.65,159497743,856826,22780923777,53765370,33.71,54.3,-11.7,528157.5,492895.8,35261.70000000001,17376.7,12.305398974591396,108.57,6.676360744664237,9181.04,8.822956510729883,9181040000.000002,996785512800.0001,25.306702274791483,-21.689361385703563,-19.21324744770372,-10.676392731695984,6.676360744664237,-0.07363666529635315
Indian Oil Corporation Limited,2020,125.95,128.25,71.15,90.95,297777576,1198494,26213038580,119413311,40.1,57.1,-35.0,483763.03,467709.76,16053.270000000019,-893.14,-0.6324816587825398,54.43,3.31841604349138,9181.04,-86.05783147098998,9181040000.000002,499724007200.0001,-8.405536227356414,-105.13987120684595,-105.13987120684595,-49.86644561112645,3.31841604349138,-0.07363666529635315
Indian Oil Corporation Limited,2021,91.4,141.75,86.7,111.55,332329420,1853726,35433295438,120023302,36.12,55.05,20.15,363949.67,324021.00000000006,39928.669999999925,21638.21,15.323209075715946,61.23,10.970931777462507,9181.04,3.9958992726292974,9181040000.000002,562155079200.0001,-24.76695253045691,-2522.7120048368674,-2522.7120048368674,12.493110417049413,10.970931777462507,-0.07363666529635315
Indian Oil Corporation Limited,2022,111.55,136.0,65.2,76.5,288686177,1989219,25248865374,153571901,53.2,70.8,-35.05,589321.2,541563.2500000001,47757.94999999984,25102.23,17.77627255474039,79.3,8.103891392334068,9181.04,4.46100270772756,9181040000.000002,728056472000.0001,61.92381765313868,16.008810340596558,16.008810340596558,29.511677282377914,8.103891392334068,-0.07363666529635315
Indian Oil Corporation Limited,2023,77.0,133.95,75.77,129.8,335554260,1779540,32141442085,162327953,48.38,58.18,52.8,841755.91,811073.2100000001,30682.699999999953,9792.12,6.934339857802454,77.9,3.6450828126647723,13771.56,11.233946070922332,13771560000.0,1072804524000.0001,42.83482589799927,-60.99103545780593,-60.99103545780593,47.351828499369475,3.6450828126647723,-0.07363666529635315
Indian Oil Corporation Limited,2024,132.05,196.8,128.5,136.4,460094147,3743349,75444365545,193340951,42.02,68.3,4.35,776351.85,700701.81,75650.03999999992,41729.69,29.551093391496476,167.75,9.74429828434104,13771.56,5.676608908429466,13771560000.0,2310179190000.0,-7.7699555444760815,326.15582733871724,326.15582733871724,115.34017971758664,9.74429828434104,-0.07363666529635315
Indian Oil Corporation Limited,2025,135.6,174.45,110.75,163.6,201145619,1961842,28767020229,106862461,53.13,63.7,28.0,758105.81,722062.6900000001,36043.119999999995,13597.84,9.629379939381923,127.7,4.754365356994163,13771.56,13.261497708459578,13771560000.0,1758628212000.0,-2.350228185841241,-67.41447156688679,-67.41447156688677,-23.874813710879284,4.754365356994163,-0.07363666529635315
