companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open),sales,expenses,operating_profit,net_profit,eps,price,opm,equity_share_capital,pe_ratio,outstanding_shares,market_cap,sales_growth_%,net_profit_growth_%,eps_growth_%,market_cap_growth_%,operating_margin_%,cagr_close_price
Oil and Natural Gas Corporation,2016,240.0,315.0,187.6,191.45,157168179,1361586,36784831127,81043225,51.56,127.4,-48.55,124035.71,84901.08,39134.630000000005,12875.21,10.03273540504317,142.73,31.55109927616813,4277.76,14.22642920775661,4277760000.0,610564684800.0,,,,,31.55109927616813,0.024501350001144173
Oil and Natural Gas Corporation,2017,191.45,212.0,155.3,194.65,167646337,1080229,30039499052,81805167,48.8,56.7,3.2,282506.11,229702.44,52803.669999999984,24419.25,19.028184708412557,185.0,18.691160343399293,6416.63,9.722419812238295,6416630000.0,1187076550000.0,127.7619163061992,89.66098417035528,89.66098417035528,94.422733504288,18.691160343399293,0.024501350001144173
Oil and Natural Gas Corporation,2018,194.0,212.9,134.75,150.2,126083538,816497,21761165534,48703982,38.63,78.15,-43.8,322705.76,265816.7,56889.06,22105.93,17.225578967054204,177.8,17.62877117532702,6416.63,10.321859157248756,6416630000.0,1140876814000.0,14.229656838218485,-9.473345823479429,-9.473345823479429,-3.8918918918918965,17.62877117532702,0.024501350001144173
Oil and Natural Gas Corporation,2019,150.6,178.95,115.55,128.75,115999065,683342,16662730995,31911048,27.51,63.4,-21.85,421623.93,346804.94,74818.98999999999,30546.04,24.280851807985503,159.75,17.745432523244112,6290.15,6.579258473438783,6290150000.0,1004851462500.0,30.652743849381547,38.18029822767013,40.95811731161707,-11.922878073320199,17.745432523244112,0.024501350001144173
Oil and Natural Gas Corporation,2020,128.65,133.4,51.8,93.2,367332539,1881424,29641609611,131341481,35.76,81.6,-35.45,396727.91,344622.93,52104.97999999998,10803.6,8.587712534677234,68.3,13.133681469498828,6290.15,7.953223832796475,6290150000.0,429617245000.0,-5.904792927668979,-64.63174932004279,-64.6317493200428,-57.24569640062598,13.133681469498828,0.024501350001144173
Oil and Natural Gas Corporation,2021,93.85,172.8,87.9,142.35,415206069,2642242,50091270068,141229782,34.01,84.9,48.5,303848.91,254375.47,49473.43999999997,16304.4,12.960263268761476,102.15,16.282250280246185,6290.14,7.88178433429013,6290140000.0,642537801000.0,-23.411259369173198,50.91636121292902,50.91636121292902,49.56052357721348,16.282250280246185,0.024501350001144173
Oil and Natural Gas Corporation,2022,142.35,194.6,119.8,146.8,292884435,2309099,43687332025,124621061,42.55,74.8,4.45,491246.24,411372.65,79873.58999999997,45522.11,36.18523405642155,163.9,16.259379410211867,6290.14,4.529471876413462,6290140000.0,1030953946000.0,61.6745111904466,179.20138122224677,179.20138122224677,60.45031815956927,16.259379410211867,0.024501350001144173
Oil and Natural Gas Corporation,2023,147.6,212.0,140.1,205.05,136332754,1389108,23028984378,70933105,52.03,71.9,57.45,632291.18,556764.19,75526.9900000001,35440.48,28.17141085665684,151.05,11.944969721070615,6290.14,5.361818787443059,6290140000.0,950125647000.0001,28.711657925361433,-22.146666751607068,-22.146666751607068,-7.840146430750449,11.944969721070615,0.024501350001144173
Oil and Natural Gas Corporation,2024,206.45,344.6,203.8,239.05,233940561,3342022,65829434585,94587096,40.43,140.8,32.6,601580.88,499197.83999999997,102383.04000000004,49143.93,39.06419560741795,268.05,17.018998343165435,6290.14,6.861782146849062,6290140000.0,1686072027000.0,-4.8569869344057714,38.666095944524436,38.666095944524436,77.45779543197615,17.018998343165435,0.024501350001144173
Oil and Natural Gas Corporation,2025,238.5,273.45,205.0,238.05,125092670,1775456,30501748959,70027426,55.98,68.45,-0.45,612065.37,523204.64999999997,88860.72000000003,36225.62,28.7955136205019,246.38,14.518174749863732,6290.14,8.556193969903067,6290140000.0,1549764693200.0,1.7428230099334252,-26.28668484592095,-26.28668484592095,-8.084312628240998,14.518174749863732,0.024501350001144173
