companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open),sales,expenses,operating_profit,net_profit,eps,price,opm,equity_share_capital,pe_ratio,outstanding_shares,market_cap,sales_growth_%,net_profit_growth_%,eps_growth_%,market_cap_growth_%,operating_margin_%,cagr_close_price
Oil India Limited,2016,389.0,453.8,300.5,450.65,13989218,322218,5228441506,7939668,56.76,153.3,61.65,9821.13,6235.459999999999,3585.67,2079.56,11.530690324369282,104.33,36.509749896396855,601.14,9.048027226913385,601140000.0,62716936200.0,,,,,36.509749896396855,-0.011946167290904475
Oil India Limited,2017,453.05,489.9,258.0,372.2,11677304,341707,3871689826,4787795,41.0,231.9,-80.85,9566.36,6445.87,3120.4900000000007,1596.56,8.852564457998337,148.35,32.61940800889785,801.51,16.757855952798515,801510000.0,118904008500.0,-2.594100678842437,-23.22606705264575,-23.22606705264575,89.5883563585174,32.61940800889785,-0.011946167290904475
Oil India Limited,2018,372.0,388.85,169.5,174.9,13693073,292387,3238212845,4343941,31.72,219.35,-197.1,10697.75,6770.219999999999,3927.5300000000007,2734.62,16.06332236842105,144.23,36.7136080016826,756.6,8.97883991194389,756600000.0,109124417999.99998,11.826755422125013,71.28200631357417,81.45388768005814,-8.224777804694462,36.7136080016826,-0.011946167290904475
Oil India Limited,2019,176.1,188.6,139.65,153.05,14032638,186320,2376027954,4935436,35.17,48.95,-23.05,13780.45,8189.93,5590.52,3237.8,19.905323988688064,123.63,40.56848651531699,1084.41,6.210901167459385,1084410000.0,134065608300.0,28.816339884555163,18.40036275606849,23.917851688141532,22.85573729245458,40.56848651531699,-0.011946167290904475
Oil India Limited,2020,153.0,159.8,66.0,107.4,34601220,469185,3368796600,11803900,34.11,93.8,-45.6,18612.45,13297.309999999998,5315.140000000003,4701.11,28.90145087913439,55.1,28.556906801630106,1084.41,1.9064786826940872,1084410000.0,59750991000.0,35.06416699019263,45.19457656433379,45.19457656433379,-55.43152956402167,28.556906801630106,-0.011946167290904475
Oil India Limited,2021,109.5,267.7,107.8,198.65,29283370,507816,4860329632,11800192,40.3,159.9,89.15,17616.05,11927.519999999999,5688.530000000001,3527.84,21.68842985368253,81.87,32.29174531180373,1084.41,3.774823744841036,1084410000.0,88780646700.0,-5.353405919156273,-24.957297319143766,-24.957297319143777,48.584392014519054,32.29174531180373,-0.011946167290904475
Oil India Limited,2022,200.7,306.0,168.3,208.05,40118224,856596,8914914058,15758107,39.28,137.7,7.35,25905.59,15405.220000000001,10500.369999999999,5621.63,34.56061723841141,158.93,40.53322082222408,1084.41,4.598586851144597,1084410000.0,172345281300.0,47.05674654647325,59.35048074742619,59.35048074742619,94.12483205081226,40.53322082222408,-0.011946167290904475
Oil India Limited,2023,211.9,406.0,205.4,372.35,37414348,730311,11030172475,15937355,42.6,200.6,160.45,36084.42,20829.309999999998,15255.11,8728.59,53.661563998524535,167.77,42.2761679417322,1084.41,3.126446333256574,1084410000.0,181931465700.0,39.29202152894413,55.267956091026974,55.267956091026996,5.562197193733098,42.2761679417322,-0.011946167290904475
Oil India Limited,2024,372.4,767.3,362.25,430.85,81228971,2267731,47498842338,27284382,33.59,405.05,58.45,31749.42,19245.239999999998,12504.18,6335.1,38.94688306897824,400.17,39.38396354957035,1084.41,10.274763176587584,1084410000.0,433948349700.0,-12.01349502084279,-27.42126735245899,-27.42126735245899,138.52297788639208,39.38396354957035,-0.011946167290904475
Oil India Limited,2025,432.25,494.45,322.15,404.45,42742658,873770,17970884618,22618101,52.92,172.3,-27.8,31703.16,20545.529999999995,11157.630000000005,6550.93,40.273761219722125,386.75,35.19406267387858,1626.61,9.603026593170739,1626609999.9999998,629091417499.9999,-0.1457034490708775,3.406891761771713,3.4068917617717354,44.96919228634177,35.19406267387858,-0.011946167290904475
