companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open),sales,expenses,operating_profit,net_profit,eps,price,opm,equity_share_capital,pe_ratio,outstanding_shares,market_cap,sales_growth_%,net_profit_growth_%,eps_growth_%,market_cap_growth_%,operating_margin_%,cagr_close_price
Reliance Industry Limited,2016,1010.0,1128.9,888.5,1080.1,96321091,2234265,98330913776,47142669,48.94,240.4,70.1,272583,230802,41781,29745,21.514125764874365,237.46,15.327808410649233,4465,11.037399455370652,4465000000.0,1060258900000.0,,,,,15.327808410649233,0.04139666065141445
Reliance Industry Limited,2017,1081.35,1665.0,780.0,921.05,1295487907,2174787,1655557103419,1232872956,95.17,885.0,-160.3,303954,257647,46307,29901,21.554620031429767,300.09,15.234871066016566,8177,13.92230526738236,8177000000.0,2453835930000.0,11.508788148930794,0.5244578920827081,0.18822176182271555,131.4374281602352,15.234871066016566,0.04139666065141445
Reliance Industry Limited,2018,922.0,1328.75,872.1,1121.05,139543879,2252555,146343237188,61910981,44.37,456.65,199.05,390823,326508,64315,36075,26.694736530535224,401.08,16.456298631349743,17555,15.02468471794872,17555000000.0,7040959400000.0,28.579653500200685,20.64813885823216,23.84693625594152,186.9368450400023,16.456298631349743,0.04139666065141445
Reliance Industry Limited,2019,1126.0,1617.8,1081.25,1514.1,135509400,3111982,178746774070,50788990,37.48,536.55,388.1,568337,484087,84250,39588,29.275435197373287,619.43,14.823951282425742,30089,21.158694851975344,30089000000.0,18638029270000.0,45.420561225925795,9.73804573804573,9.667443856904478,164.70865987382345,14.823951282425742,0.04139666065141445
Reliance Industry Limited,2020,1516.1,2368.8,875.7,1984.65,417011242,8196471,566956764031,276266794,66.25,1493.1,468.55,596679,507413,89266,39354,29.10002440160607,506.06,14.960472884080051,19656,17.390363424302485,19656000000.0,9947115360000.0,4.986829996991227,-0.5910882085480407,-0.5991739988991052,-46.630004621727906,14.960472884080051,0.04139666065141445
Reliance Industry Limited,2021,1986.15,2750.0,1830.0,2368.15,132634188,5842863,289257785145,73007671,55.04,920.0,382.0,466307,385517,80790,49128,38.74784090102453,918.78,17.32549586431257,19014,23.71177280166097,19014000000.0,17469682920000.0,-21.849604226057895,24.83610306449153,33.15398078802292,75.62561896336548,17.32549586431257,0.04139666065141445
Reliance Industry Limited,2022,2367.5,2855.0,2181.0,2548.2,95833260,4597092,239944489367,63584501,66.35,674.0,180.7,694673,586092,108581,60705,44.86762553770196,1208.51,15.630519683361813,23640,26.93501128078412,23640000000.0,28569176400000.0,48.97331586272562,23.564973131411815,15.79387262456633,63.53574664651098,15.630519683361813,0.04139666065141445
Reliance Industry Limited,2023,2556.9,2855.0,2180.0,2584.85,88584750,4517066,215716151244,54433108,61.45,675.0,27.95,876396,734078,142318,66702,49.29496275274921,1069.21,16.239006111392566,28448,21.690045803724026,28448000000.0,30416886080000.0,26.159502384575184,9.878922658759581,9.867554081565967,6.467493686657355,16.239006111392566,0.04139666065141445
Reliance Industry Limited,2024,2581.05,3217.9,1202.1,1215.45,94130413,4731886,226143348048,47010979,49.94,2015.8,-1365.6,899041,736543,162498,69621,51.45143887550438,1485.85,18.07459281612296,31628,28.87868701972106,31628000000.0,46994463800000.0,2.58387760783938,4.376180624269144,4.374637898747391,54.50123223133036,18.07459281612296,0.04139666065141445
Reliance Industry Limited,2025,1218.95,1580.9,1115.55,1556.0,163357803,4624585,226650469231,84795140,51.91,465.35,337.05,962820,797222,165598,69648,51.4675888977565,1275.1,17.199268814524,42121,24.77481512749827,42121000000.0,53708487100000.0,7.094114728916701,0.03878140216313497,0.03138886415052777,14.286838825470326,17.199268814524,0.04139666065141445
